Campaign_ID,Campaign_Date,Influencer,Platform,Category,Followers,Reach,Impressions,Likes,Comments,Shares,Engagements,Spend_USD,Conversions,Revenue_USD,Audience_Group,Engagement_Rate,ROI,Conversion_Rate,Influencer_Type,ROI_Category,Engagement_Category,Cost_Per_Engagement,Cost_Category
CMP00021,2025-05-14,Influencer_105,TikTok,Tech,4779783,2485869,4702714,324834,5382,13742,343958,33039.97,68532,7441448.32,Gen X,13.836529599910536,22422.563791674143,2.7568628918096647,Mega Influencer,High ROI,High Engagement,0.0960581524488455,Cost Efficient
CMP00022,2025-02-21,Influencer_38,X,Tech,3321092,1229274,2419520,119958,10370,1193,131521,961.12,20364,6100387.35,Gen X,10.699079293957245,634616.513026469,1.6565875467959137,Mega Influencer,High ROI,High Engagement,0.007307730324434881,Cost Efficient
CMP00023,2025-12-27,Influencer_155,X,Beauty,1112126,1571697,3648374,230595,16019,12113,258727,14606.88,28726,7280564.12,Gen Z,16.46163350823982,49743.38969033771,1.8277059764063939,Mega Influencer,High ROI,High Engagement,0.05645672852079605,Cost Efficient
CMP00024,2025-05-20,Influencer_145,X,Tech,4653341,2741713,5469945,70507,4343,950,75800,44540.78,12173,2129089.59,Gen X,2.7646949188335905,4680.0904923533,0.4439924966617585,Mega Influencer,High ROI,Low Engagement,0.587609234828496,Cost Efficient
CMP00025,2025-11-21,Influencer_217,TikTok,Fashion,1708898,1869100,4260369,265079,32026,8233,305338,45314.16,55460,1898045.86,Gen Z,16.33609758707399,4088.6374148831183,2.9672034669092078,Mega Influencer,High ROI,High Engagement,0.14840655273827694,Cost Efficient
CMP00026,2025-01-05,Influencer_58,Instagram,Beauty,2799075,3365761,6582318,137440,5304,12149,154893,22370.86,23133,3232890.82,Millennials,4.602020167207357,14351.347958907258,0.6873037033823851,Mega Influencer,High ROI,Low Engagement,0.14442783082515026,Cost Efficient
CMP00027,2025-01-21,Influencer_184,YouTube,Beauty,4577743,1129954,1755749,144941,4862,7046,156849,6808.55,10111,1234577.61,Millennials,13.881007545439902,18032.753816891996,0.8948151871669111,Mega Influencer,High ROI,High Engagement,0.043408309903155265,Cost Efficient
CMP00028,2025-04-01,Influencer_212,Instagram,Tech,863295,569586,1047938,53364,10178,1271,64813,46325.31,3888,1019004.35,Gen X,11.378966477406397,2099.670871063788,0.6826010470762975,Macro Influencer,High ROI,High Engagement,0.7147533673800008,Cost Efficient
CMP00029,2025-01-20,Influencer_241,YouTube,Tech,3454700,4293866,9859128,260322,17495,5221,283038,39475.04,7094,901730.27,Mixed,6.591682181046171,2184.304892407962,0.1652124216265715,Mega Influencer,High ROI,Medium Engagement,0.13946904655911926,Cost Efficient
CMP00030,2025-02-05,Influencer_143,TikTok,Beauty,2934147,1750946,3839856,119425,7314,392,127131,33171.64,13066,1462259.78,Mixed,7.260703642488117,4308.162454433969,0.7462251834151368,Mega Influencer,High ROI,Medium Engagement,0.26092487276903353,Cost Efficient
CMP00031,2025-11-02,Influencer_223,TikTok,Beauty,4499103,2836661,2954101,137051,5861,9517,152429,48145.45,8708,267440.23,Gen X,5.37353599883807,455.4839138485568,0.3069806367415775,Mega Influencer,High ROI,Medium Engagement,0.31585492261971143,Cost Efficient
CMP00032,2025-09-24,Influencer_276,YouTube,Fitness,3661737,3618058,6393595,404006,75584,12462,492052,13108.76,92911,13202291.15,Mixed,13.599892539036135,100613.50112443893,2.567979838908055,Mega Influencer,High ROI,High Engagement,0.026641005422191152,Cost Efficient
CMP00033,2025-12-08,Influencer_210,TikTok,Food,587982,842893,2007059,81778,5153,5439,92370,42476.76,9850,1595643.87,Gen X,10.958686333852578,3656.5103129334725,1.1685943530198968,Macro Influencer,High ROI,High Engagement,0.4598544982137058,Cost Efficient
CMP00034,2025-06-04,Influencer_208,X,Fashion,4651748,1700093,2772289,246610,24857,22199,293666,37532.66,11415,2195608.77,Gen X,17.273525624774642,5749.861880293056,0.6714338568537133,Mega Influencer,High ROI,High Engagement,0.12780730489740047,Cost Efficient
CMP00035,2025-09-19,Influencer_243,YouTube,Beauty,2407806,1139464,2482479,159132,21463,5284,185879,23516.92,28987,6063373.85,Gen Z,16.312845337807953,25683.027071572298,2.5439153847774043,Mega Influencer,High ROI,High Engagement,0.1265173580662689,Cost Efficient
CMP00036,2025-03-17,Influencer_13,Instagram,Tech,2381572,2072176,4039523,175835,6130,7701,189666,33803.39,14732,3621679.68,Mixed,9.15298700496483,10613.954073836972,0.7109434719830748,Mega Influencer,High ROI,Medium Engagement,0.17822588128605021,Cost Efficient
CMP00037,2025-01-03,Influencer_55,Facebook,Tech,611927,484671,1128898,25585,3155,2029,30769,20282.82,1218,248102.02,Millennials,6.348430172219918,1123.2126499175163,0.2513044931510241,Macro Influencer,High ROI,Medium Engagement,0.6591965939744548,Cost Efficient
CMP00038,2025-10-14,Influencer_163,Facebook,Travel,4345944,3493768,6414937,481118,15916,29919,526953,7100.29,60911,12603811.64,Mixed,15.082655745888108,177411.22334439863,1.7434185670027316,Mega Influencer,High ROI,High Engagement,0.013474237740367736,Cost Efficient
CMP00039,2025-09-24,Influencer_249,YouTube,Fitness,4596883,3584133,4439797,497832,59001,16991,573824,37712.95,110092,21858238.41,Mixed,16.010120160161467,57859.50306194558,3.071649405867472,Mega Influencer,High ROI,High Engagement,0.06572215522529555,Cost Efficient
CMP00040,2025-03-20,Influencer_110,Instagram,Food,650977,734047,992240,44120,5248,665,50033,7349.52,3798,483295.05,Mixed,6.816048563647832,6475.872301864611,0.5174055612242813,Macro Influencer,High ROI,Medium Engagement,0.14689345032278697,Cost Efficient
CMP00041,2025-01-11,Influencer_295,Facebook,Food,2776634,2513949,4081801,108540,13777,6386,128703,45289.5,19149,5455499.73,Gen Z,5.119554931305289,11945.837843208692,0.7617099630899434,Mega Influencer,High ROI,Medium Engagement,0.3518915642992005,Cost Efficient
CMP00042,2025-04-23,Influencer_250,YouTube,Fitness,2951766,1736218,2751870,233838,27470,17641,278949,37502.03,35801,8734122.51,Mixed,16.066473219376828,23189.73260914143,2.062010646128539,Mega Influencer,High ROI,High Engagement,0.13444045327282048,Cost Efficient
CMP00043,2025-07-21,Influencer_289,Instagram,Fashion,4074860,968725,1457150,106089,5418,7662,119169,46017.31,20400,3458914.17,Mixed,12.301633590544272,7416.550119943994,2.105860796407649,Mega Influencer,High ROI,High Engagement,0.38615168374325537,Cost Efficient
CMP00044,2025-07-14,Influencer_143,Facebook,Fitness,1139329,1511783,1923885,68298,6221,2686,77205,10977.18,5365,614293.32,Gen Z,5.106883726037401,5496.094078807124,0.35487897403264884,Mega Influencer,High ROI,Medium Engagement,0.14218224208276667,Cost Efficient
CMP00045,2025-05-07,Influencer_103,Instagram,Travel,3946219,888681,1607738,91840,7357,1129,100326,39171.04,1329,307245.26,Millennials,11.289315288613125,684.368400736871,0.14954747541581287,Mega Influencer,High ROI,High Engagement,0.39043757351035624,Cost Efficient
CMP00046,2025-11-07,Influencer_59,YouTube,Fitness,2002060,728924,1460900,74020,3581,3814,81415,35123.52,12574,1550256.62,Gen Z,11.16920282498587,4313.727952095918,1.725008368499322,Mega Influencer,High ROI,High Engagement,0.4314133759135294,Cost Efficient
CMP00047,2025-05-05,Influencer_53,TikTok,Beauty,4855359,1133153,1663395,98484,13007,3254,114745,4261.83,22640,5717959.7,Gen Z,10.126170075885604,134066.77108190613,1.997964970308511,Mega Influencer,High ROI,High Engagement,0.037141749095821165,Cost Efficient
CMP00048,2025-08-04,Influencer_251,Instagram,Food,4748386,5780808,8791485,449286,86716,24290,560292,3913.36,84884,9807898.77,Gen X,9.692278311267213,250526.02903898442,1.4683760470854594,Mega Influencer,High ROI,Medium Engagement,0.006984500938796199,Cost Efficient
CMP00049,2025-09-05,Influencer_239,Facebook,Beauty,3857573,4318557,7139571,547191,85266,17705,650162,30987.66,120546,20575805.53,Gen X,15.055075109579427,66299.99770876537,2.79134905478844,Mega Influencer,High ROI,High Engagement,0.04766144437847798,Cost Efficient
CMP00050,2025-12-09,Influencer_195,TikTok,Fashion,2704686,3535638,7941384,90972,9149,7390,107511,12571.24,15237,2735923.73,Mixed,3.0407807586636415,21663.356120796358,0.43095475272072536,Mega Influencer,High ROI,Low Engagement,0.11692980253183395,Cost Efficient
CMP00051,2025-10-12,Influencer_6,X,Tech,2727416,1190222,1568926,67825,5586,2295,75706,44075.84,11498,3063412.79,Gen Z,6.360662128577695,6850.321967771914,0.9660382684910882,Mega Influencer,High ROI,Medium Engagement,0.5821974480226138,Cost Efficient
CMP00052,2025-01-09,Influencer_48,TikTok,Tech,2025641,2301324,3987887,126098,22639,7805,156542,32472.19,16093,2341352.45,Mixed,6.8022581783356015,7110.331209567326,0.6992931025792108,Mega Influencer,High ROI,Medium Engagement,0.20743436266305526,Cost Efficient
CMP00053,2025-06-30,Influencer_233,TikTok,Fitness,2041991,1221249,2286585,124162,18146,8703,151011,17515.99,24452,4257307.7,Gen X,12.36529159901052,24205.26450403317,2.002212489017391,Mega Influencer,High ROI,High Engagement,0.1159914840640748,Cost Efficient
CMP00054,2025-04-21,Influencer_248,TikTok,Beauty,1934893,690471,889931,15770,3052,1102,19924,47568.44,2836,203743.79,Gen X,2.885566519086247,328.3171573421369,0.4107341220702969,Mega Influencer,High ROI,Low Engagement,2.387494479020277,Expensive
CMP00055,2025-01-24,Influencer_28,X,Fitness,844274,1082711,1563834,94702,5889,4957,105548,1200.34,17512,970921.82,Millennials,9.748492441658023,80787.23361714181,1.617421454109176,Macro Influencer,High ROI,Medium Engagement,0.011372456133702202,Cost Efficient
CMP00056,2025-05-10,Influencer_245,Instagram,Fashion,4118788,1373055,1398316,74637,7700,3926,86263,22303.21,6051,1756843.35,Mixed,6.282559693530121,7777.087423738557,0.4406961119547287,Mega Influencer,High ROI,Medium Engagement,0.2585489723288084,Cost Efficient
CMP00057,2025-05-08,Influencer_61,X,Food,4126069,1222582,2376905,14153,631,310,15094,40651.53,1254,54988.72,Millennials,1.234600214954907,35.26851264884742,0.10256980717857779,Mega Influencer,Low ROI,Low Engagement,2.693224460050351,Expensive
CMP00058,2025-01-31,Influencer_51,YouTube,Beauty,4384656,3045106,7194844,155998,28195,9647,193840,49506.55,20023,3588447.01,Millennials,6.365624053809621,7148.428763466652,0.6575468965612363,Mega Influencer,High ROI,Medium Engagement,0.2553990404457285,Cost Efficient
CMP00059,2025-11-01,Influencer_241,TikTok,Fashion,2221012,2351066,2904943,91228,18097,1234,110559,8248.36,13396,1957705.34,Millennials,4.702505161488448,23634.479823868016,0.5697840894300713,Mega Influencer,High ROI,Low Engagement,0.07460595700033466,Cost Efficient
CMP00060,2025-11-17,Influencer_102,Facebook,Fashion,2417798,2705618,5558641,238143,4674,22529,265346,12054.48,17347,4173546.78,Millennials,9.807223340471568,34522.370935950785,0.6411474199240248,Mega Influencer,High ROI,Medium Engagement,0.04542928855155156,Cost Efficient
CMP00061,2025-10-19,Influencer_148,Facebook,Fashion,1250813,1727291,3869039,18819,254,344,19417,39735.11,2447,562095.87,Mixed,1.1241302131487976,1314.6075599136382,0.141666922365716,Mega Influencer,High ROI,Low Engagement,2.046408302003399,Expensive
CMP00062,2025-08-10,Influencer_166,X,Fitness,2551901,2831726,6835827,262491,35398,16185,314074,22169.06,39202,1221574.29,Gen Z,11.091256710571573,5410.266515585235,1.3843853536676924,Mega Influencer,High ROI,High Engagement,0.07058546711921394,Cost Efficient
CMP00063,2025-05-18,Influencer_296,Instagram,Tech,767105,381712,767793,56494,9434,4814,70742,47563.92,12539,2611106.86,Mixed,18.53282055581171,5389.679698393236,3.2849373349541016,Macro Influencer,High ROI,High Engagement,0.6723575810692375,Cost Efficient
CMP00064,2025-06-20,Influencer_165,Instagram,Tech,4354384,4558876,10823269,190405,28576,16117,235098,48468.23,30812,3618225.3,Gen X,5.1569290325071355,7365.148407523856,0.6758683500055715,Mega Influencer,High ROI,Medium Engagement,0.20616181337144512,Cost Efficient
CMP00065,2025-03-01,Influencer_207,X,Fashion,3454129,3805675,5450969,420004,72112,2409,494525,23013.88,41234,3738755.98,Mixed,12.994409664514178,16145.656881846955,1.0834871606219658,Mega Influencer,High ROI,High Engagement,0.046537343915878875,Cost Efficient
CMP00066,2025-03-09,Influencer_148,Facebook,Beauty,3467571,937857,1667190,130776,20503,7247,158526,38119.53,6680,633101.99,Mixed,16.903003336329526,1560.8336723983741,0.712262103924159,Mega Influencer,High ROI,High Engagement,0.2404623216380909,Cost Efficient
CMP00067,2025-02-17,Influencer_116,Instagram,Food,1019595,242184,471055,15782,2917,329,19028,15882.13,66,11525.61,Gen Z,7.856836124599479,-27.430325781239663,0.02725200673867803,Mega Influencer,Low ROI,Medium Engagement,0.8346715366827833,Cost Efficient
CMP00068,2025-05-05,Influencer_234,X,Tech,1292603,1095982,2274058,133497,23124,4484,161105,21066.77,15820,4658491.62,Mixed,14.699602730701782,22012.984667322045,1.443454363301587,Mega Influencer,High ROI,High Engagement,0.13076422209118277,Cost Efficient
CMP00069,2025-09-17,Influencer_137,Instagram,Fitness,1599955,2237422,3943146,71669,14166,576,86411,14174.25,13606,1566935.92,Gen X,3.8620787674385966,10954.80656824876,0.6081105844136689,Mega Influencer,High ROI,Low Engagement,0.16403293562162224,Cost Efficient
CMP00070,2025-10-06,Influencer_194,Facebook,Fitness,4924590,4697568,9347742,155913,14642,8829,179384,24474.9,21796,3804205.77,Millennials,3.8186568028392562,15443.294436340904,0.46398476828861235,Mega Influencer,High ROI,Low Engagement,0.1364385898407885,Cost Efficient
CMP00071,2025-12-06,Influencer_78,Facebook,Fashion,2004246,1890679,2553066,215464,2870,10431,228765,37362.91,24994,3201782.66,Millennials,12.09962135296367,8469.414587889432,1.321958936445584,Mega Influencer,High ROI,High Engagement,0.16332441588529714,Cost Efficient
CMP00072,2025-03-15,Influencer_210,YouTube,Fashion,4214523,6131960,9185627,105339,14437,1638,121414,26534.58,14982,364022.56,Mixed,1.9800194391352846,1271.879863936041,0.24432644700878675,Mega Influencer,High ROI,Low Engagement,0.21854629614377255,Cost Efficient
CMP00073,2025-06-12,Influencer_250,X,Fashion,2224172,1423758,2903123,170450,5273,10771,186494,42690.9,34981,4421690.45,Gen Z,13.098714809679734,10257.454281825867,2.456948442080747,Mega Influencer,High ROI,High Engagement,0.22891299451993094,Cost Efficient
CMP00074,2025-02-21,Influencer_228,YouTube,Beauty,1970395,2010806,4788520,119368,2971,7115,129454,48927.72,24925,4921426.1,Gen X,6.437915940175233,9958.564143189178,1.2395526967793014,Mega Influencer,High ROI,Medium Engagement,0.3779544857632827,Cost Efficient
CMP00075,2025-10-17,Influencer_93,YouTube,Tech,243827,63343,138988,4906,377,196,5479,21819.0,510,86050.55,Gen Z,8.64973240926385,294.3835647829873,0.805140268064348,Macro Influencer,High ROI,Medium Engagement,3.9822960394232525,Expensive
CMP00076,2025-05-11,Influencer_5,Facebook,Fitness,3210014,3228065,4394186,478685,76445,9384,564514,11993.33,83621,7619014.95,Millennials,17.487689993850804,63427.10173071199,2.59043730532068,Mega Influencer,High ROI,High Engagement,0.02124540755410849,Cost Efficient
CMP00077,2025-04-12,Influencer_197,Facebook,Fashion,620598,480497,729561,39310,5244,1742,46296,34670.52,7494,1923598.13,Millennials,9.635023735840182,5448.224053172552,1.5596351277947624,Macro Influencer,High ROI,Medium Engagement,0.7488880248833591,Cost Efficient
CMP00078,2025-10-17,Influencer_26,X,Beauty,3200115,3019306,5622605,366723,38706,1442,406871,48908.25,51889,5025683.49,Mixed,13.475646390263194,10175.737712962537,1.7185737384683764,Mega Influencer,High ROI,High Engagement,0.12020579004156108,Cost Efficient
CMP00079,2025-12-04,Influencer_71,Instagram,Beauty,2401770,2902450,3904310,420543,46189,14357,481089,32012.58,81391,7339474.45,Gen Z,16.575272614515324,22826.84454049002,2.8042171269100242,Mega Influencer,High ROI,High Engagement,0.06654190804612037,Cost Efficient
CMP00080,2025-03-31,Influencer_103,YouTube,Travel,2592516,3176334,3335299,191392,8622,2958,202972,45526.58,21421,4911720.53,Gen X,6.390134035022765,10688.687685303837,0.674393813748806,Mega Influencer,High ROI,Medium Engagement,0.22429980489919793,Cost Efficient
CMP00081,2025-06-23,Influencer_59,Facebook,Fashion,4454112,3796387,5348315,172637,16850,15794,205281,48385.51,19352,4432316.64,Millennials,5.407272756966031,9060.421456754304,0.509747820756946,Mega Influencer,High ROI,Medium Engagement,0.2357037913883896,Cost Efficient
CMP00082,2025-10-02,Influencer_64,Facebook,Fitness,1893593,2496101,5207678,208458,36534,11990,256982,4969.99,25868,618173.38,Gen X,10.295336606972235,12338.121203463188,1.036336270046765,Mega Influencer,High ROI,High Engagement,0.019339837031387412,Cost Efficient
CMP00083,2025-10-15,Influencer_168,X,Tech,4904645,3410362,6676888,194859,7110,7666,209635,23838.1,40612,10867192.75,Gen Z,6.147001403370083,45487.49543797535,1.190841324176143,Mega Influencer,High ROI,Medium Engagement,0.1137124048942209,Cost Efficient
CMP00084,2025-09-10,Influencer_60,Instagram,Tech,3895558,5384455,7825149,428229,15302,9165,452696,2744.67,4887,514220.32,Millennials,8.407461850827985,18635.23301526231,0.09076127481797136,Mega Influencer,High ROI,Medium Engagement,0.006062942902079984,Cost Efficient
CMP00085,2025-12-02,Influencer_51,Facebook,Travel,3261197,2575487,5165729,365258,70814,27472,463544,29573.35,20263,5428779.06,Mixed,17.998304786628704,18256.99729655247,0.7867638236962562,Mega Influencer,High ROI,High Engagement,0.06379836649811021,Cost Efficient
CMP00086,2025-07-08,Influencer_279,TikTok,Fashion,2347630,569373,885827,58215,7295,1939,67449,42844.78,1637,482358.03,Mixed,11.846188702309382,1025.8268335139076,0.2875092426230257,Mega Influencer,High ROI,High Engagement,0.6352174235348189,Cost Efficient
CMP00087,2025-01-11,Influencer_26,TikTok,Tech,2315261,1034345,1223877,119301,3013,10863,133177,10999.24,20964,3924479.01,Millennials,12.875491252918515,35579.54704143195,2.0267899008551304,Mega Influencer,High ROI,High Engagement,0.0825911381094333,Cost Efficient
CMP00088,2025-03-17,Influencer_2,TikTok,Tech,4737023,2211087,4963286,290664,13586,19219,323469,11189.59,57006,4859170.36,Millennials,14.629410783022106,43325.81238454671,2.5781889179394573,Mega Influencer,High ROI,High Engagement,0.034592464811156555,Cost Efficient
CMP00089,2025-01-09,Influencer_90,TikTok,Fashion,4532655,2383498,3007368,346684,3389,8642,358715,1235.59,31196,5767479.61,Millennials,15.049939206997445,466679.40174329677,1.3088326484855453,Mega Influencer,High ROI,High Engagement,0.0034444893578467585,Cost Efficient
CMP00090,2025-04-24,Influencer_23,X,Fitness,3532273,3122215,6614405,249790,29388,11868,291046,25905.28,7156,1048794.22,Mixed,9.321779569952742,3948.5731866245023,0.22919625970665058,Mega Influencer,High ROI,Medium Engagement,0.08900751084021082,Cost Efficient
CMP00091,2025-02-11,Influencer_165,X,Tech,262310,73203,125797,6680,883,115,7678,24768.31,918,37250.05,Gen Z,10.488641175908091,50.39399135427488,1.2540469652883077,Macro Influencer,Medium ROI,High Engagement,3.225880437613962,Expensive
CMP00092,2025-11-06,Influencer_221,Instagram,Beauty,1059571,590732,1151700,71974,11677,2668,86319,19354.77,9673,1422320.99,Gen Z,14.612209936147016,7248.684536163437,1.6374599649248727,Mega Influencer,High ROI,High Engagement,0.2242237514336357,Cost Efficient
CMP00093,2025-02-18,Influencer_161,Facebook,Fitness,4625935,5260113,6956681,473589,29959,27124,530672,17277.12,59451,7826394.29,Gen X,10.088604560396327,45199.18348659962,1.130222867835729,Mega Influencer,High ROI,High Engagement,0.03255705972804293,Cost Efficient
CMP00094,2025-07-10,Influencer_67,X,Fashion,3140864,4521808,9180317,497405,8809,5983,512197,41672.71,12229,1723377.02,Gen X,11.327261130945852,4035.505034349818,0.2704449193773818,Mega Influencer,High ROI,High Engagement,0.08136070691550322,Cost Efficient
CMP00095,2025-02-23,Influencer_296,X,Tech,1026350,753393,1740647,98441,13868,847,113156,48435.73,19684,2115748.36,Millennials,15.019518365580778,4268.156235076874,2.6127134178310656,Mega Influencer,High ROI,High Engagement,0.4280438509668069,Cost Efficient
CMP00096,2025-08-08,Influencer_288,X,Travel,4045897,1988632,2311441,291743,24098,3769,319610,38248.98,37634,3135835.98,Gen Z,16.07185240909329,8098.482626203365,1.8924567240193257,Mega Influencer,High ROI,High Engagement,0.11967391508400864,Cost Efficient
CMP00097,2025-10-17,Influencer_206,Instagram,Tech,2244514,533384,752021,40599,7559,1396,49554,17875.66,2982,785940.57,Gen Z,9.290492403221693,4296.707981691305,0.5590718881706238,Mega Influencer,High ROI,Medium Engagement,0.36073091980465755,Cost Efficient
CMP00098,2025-10-18,Influencer_44,Instagram,Tech,770719,901699,1192676,110156,14875,5590,130621,8291.76,10221,2269541.07,Millennials,14.48609791072187,27271.04149179426,1.1335268199254962,Macro Influencer,High ROI,High Engagement,0.06347953238759464,Cost Efficient
CMP00099,2025-09-20,Influencer_59,TikTok,Food,418438,450305,634098,55676,7967,4978,68621,22381.19,4485,360411.51,Gen Z,15.238782602902475,1510.3322030687377,0.9959916056894771,Macro Influencer,High ROI,High Engagement,0.32615657014616517,Cost Efficient
CMP00100,2025-01-29,Influencer_4,YouTube,Fitness,2377043,2571207,4858813,276365,43731,10111,330207,2748.16,51817,15319425.79,Millennials,12.84248992788212,557343.0087767815,2.015279205447092,Mega Influencer,High ROI,High Engagement,0.008322537075228568,Cost Efficient
CMP00101,2025-09-30,Influencer_118,X,Travel,1152208,1375055,1972063,31553,73,2042,33668,37477.2,1449,81393.22,Gen X,2.448483878826665,117.18063249122135,0.10537760307769509,Mega Influencer,High ROI,Low Engagement,1.113140073660449,Moderately Efficient
CMP00102,2025-10-21,Influencer_208,Facebook,Fitness,605613,433735,916508,28688,163,1888,30739,46097.54,2574,466441.14,Gen Z,7.087046237910245,911.8569016915003,0.5934499175764003,Macro Influencer,High ROI,Medium Engagement,1.4996434496893198,Moderately Efficient
CMP00103,2025-02-24,Influencer_125,Facebook,Travel,3398657,771880,1147903,105130,20264,7543,132937,41685.28,11867,530174.44,Mixed,17.222495724724048,1171.8504949468972,1.5374151422500906,Mega Influencer,High ROI,High Engagement,0.3135716918540361,Cost Efficient
